Node,Avicii Arena,Bergshamra,Farsta Shopping Centre,Lidingö,Nacka Forum,Skärholmen,Sollentuna,T-Centralen,Täby,Vällingby,Årstaberg
Avicii Arena,2654,-3,-25,-20,-46,-14,-31,-151,-32,-29,-5
Bergshamra,-29,273,-25,-20,-46,-14,-31,-151,-32,-29,-5
Farsta Shopping Centre,-29,-3,2269,-20,-46,-14,-31,-151,-32,-29,-5
Lidingö,-29,-3,-25,1806,-46,-14,-31,-151,-32,-29,-5
Nacka Forum,-29,-3,-25,-20,4148,-14,-31,-151,-32,-29,-5
Skärholmen,-29,-3,-25,-20,-46,1262,-31,-151,-32,-29,-5
Sollentuna,-29,-3,-25,-20,-46,-14,2858,-151,-32,-29,-5
T-Centralen,-2393,-246,-2044,-1626,-3734,-1136,-2579,1510,-2627,-2403,-423
Täby,-29,-3,-25,-20,-46,-14,-31,-151,2915,-29,-5
Vällingby,-29,-3,-25,-20,-46,-14,-31,-151,-32,2664,-5
Årstaberg,-29,-3,-25,-20,-46,-14,-31,-151,-32,-29,468
