from_node,to_node,distance_m,duration_min,Lanes,u_ij,a_ij
Täby,Bergshamra,9333.6,10.475,3,4307.8153846153855,0.24316269535156135
Bergshamra,T-Centralen,8989.9,11.741666666666667,6,8298.369230769229,0.14149366387711645
Lidingö,T-Centralen,8025.1,14.296666666666663,2,2469.2615384615387,0.5789855162760171
Vällingby,Bergshamra,15364.8,18.953333333333333,2,4727.630769230769,0.40090553299316184
Vällingby,T-Centralen,13454.3,21.705,2,4139.784615384615,0.5243026393049063
Skärholmen,Årstaberg,8900.0,10.393333333333334,3,4107.692307692308,0.2530212234706617
Årstaberg,Avicii Arena,4200.4,5.203333333333333,2,1292.430769230769,0.402600545979748
Farsta Shopping Centre,Avicii Arena,9457.5,14.281666666666666,2,2910.0,0.49077892325315003
Skärholmen,Farsta Shopping Centre,14464.8,20.251666666666665,1,2225.353846153846,0.910042540051251
Nacka Forum,T-Centralen,9847.3,14.265,2,3029.9384615384615,0.47080164105897054
Avicii Arena,T-Centralen,6168.2,7.864999999999999,3,2846.861538461538,0.2762691438885466
Nacka Forum,Avicii Arena,11428.6,13.726666666666668,2,3516.492307692308,0.3903511074555647
Vällingby,Årstaberg,15985.4,21.578333333333333,2,4918.584615384615,0.43871021890808704
Sollentuna,Bergshamra,10263.7,12.401666666666667,3,4737.092307692308,0.26179913459841747
Sollentuna,Täby,15265.0,17.798333333333336,1,2348.4615384615386,0.7578720384321433
Vällingby,Sollentuna,11275.3,18.133333333333333,2,3469.3230769230768,0.5226764106793906
Bergshamra,Årstaberg,14206.7,16.071666666666665,3,6556.938461538462,0.24510931070864053
Bergshamra,Täby,9333.6,10.475,3,4307.8153846153855,0.24316269535156135
T-Centralen,Bergshamra,8989.9,11.741666666666667,6,8298.369230769229,0.14149366387711645
T-Centralen,Lidingö,8025.1,14.296666666666663,2,2469.2615384615387,0.5789855162760171
Bergshamra,Vällingby,15364.8,18.953333333333333,2,4727.630769230769,0.40090553299316184
T-Centralen,Vällingby,13454.3,21.705,2,4139.784615384615,0.5243026393049063
Årstaberg,Skärholmen,8900.0,10.393333333333334,3,4107.692307692308,0.2530212234706617
Avicii Arena,Årstaberg,4200.4,5.203333333333333,2,1292.430769230769,0.402600545979748
Avicii Arena,Farsta Shopping Centre,9457.5,14.281666666666666,2,2910.0,0.49077892325315003
Farsta Shopping Centre,Skärholmen,14464.8,20.251666666666665,1,2225.353846153846,0.910042540051251
T-Centralen,Nacka Forum,9847.3,14.265,2,3029.9384615384615,0.47080164105897054
T-Centralen,Avicii Arena,6168.2,7.864999999999999,3,2846.861538461538,0.2762691438885466
Avicii Arena,Nacka Forum,11428.6,13.726666666666668,2,3516.492307692308,0.3903511074555647
Årstaberg,Vällingby,15985.4,21.578333333333333,2,4918.584615384615,0.43871021890808704
Bergshamra,Sollentuna,10263.7,12.401666666666667,3,4737.092307692308,0.26179913459841747
Täby,Sollentuna,15265.0,17.798333333333336,1,2348.4615384615386,0.7578720384321433
Sollentuna,Vällingby,11275.3,18.133333333333333,2,3469.3230769230768,0.5226764106793906
Årstaberg,Bergshamra,14206.7,16.071666666666665,3,6556.938461538462,0.24510931070864053
